# Extracted surface points
# Object: trace_plane_Stand
# CoordinateSpace: World
# Units: meters
# Count: 3377
# Color 0: Name=Green, RGB=0,255,0, Tolerance=0
# Color 1: Name=SecondColor, RGB=255,0,0, Tolerance=0
index,x,y,z,colorIndex,colorName
0,-0.03494801,0.05933897,0.05552296,0,Green
1,-0.03461505,0.05916849,0.05585593,0,Green
2,-0.03483997,0.05933617,0.05627048,0,Green
3,-0.03453346,0.05917449,0.05663211,0,Green
4,-0.03537912,0.05937339,0.05336528,0,Green
5,-0.03504438,0.05921124,0.05370003,0,Green
6,-0.03470964,0.05904908,0.05403477,0,Green
7,-0.03511044,0.05931067,0.05418672,0,Green
8,-0.03453346,0.05899101,0.05449981,0,Green
9,-0.03493699,0.05925007,0.05465196,0,Green
10,-0.03460623,0.05908113,0.05498713,0,Green
11,-0.03516190,0.05942538,0.05506431,0,Green
12,-0.03581076,0.05934216,0.05120708,0,Green
13,-0.03547382,0.05918816,0.05154403,0,Green
14,-0.03513687,0.05903418,0.05188097,0,Green
15,-0.03494968,0.05898891,0.05234344,0,Green
16,-0.03553768,0.05929759,0.05202852,0,Green
17,-0.03568303,0.05945166,0.05248218,0,Green
18,-0.03526995,0.05922243,0.05264976,0,Green
19,-0.03484658,0.05898876,0.05283279,0,Green
20,-0.03565143,0.05918299,0.05076003,0,Green
21,-0.03516852,0.05895915,0.05122089,0,Green
22,-0.03624240,0.05924729,0.04904887,0,Green
23,-0.03590325,0.05910147,0.04938802,0,Green
24,-0.03556411,0.05895567,0.04972717,0,Green
25,-0.03538132,0.05892485,0.05019184,0,Green
26,-0.03596492,0.05922017,0.04987032,0,Green
27,-0.03600676,0.05932773,0.05035701,0,Green
28,-0.03430310,0.05892630,0.05535395,0,Green
29,-0.03428554,0.05898695,0.05618541,0,Green
30,-0.03408590,0.05889155,0.05663515,0,Green
31,-0.03408590,0.05892596,0.05713535,0,Green
32,-0.03450932,0.05919374,0.05713316,0,Green
33,-0.03408590,0.05896037,0.05763555,0,Green
34,-0.03450932,0.05922815,0.05763336,0,Green
35,-0.03406177,0.05896663,0.05813575,0,Green
36,-0.03376340,0.05879288,0.05849774,0,Green
37,-0.03448518,0.05923475,0.05813356,0,Green
38,-0.03365591,0.05874531,0.05898478,0,Green
39,-0.03417585,0.05905904,0.05861401,0,Green
40,-0.03406616,0.05901008,0.05910105,0,Green
41,-0.03560071,0.05886818,0.04906433,0,Green
42,-0.03667396,0.05915947,0.04730691,0,Green
43,-0.03626003,0.05896306,0.04750834,0,Green
44,-0.03656550,0.05919796,0.04782931,0,Green
45,-0.03626003,0.05909833,0.04821447,0,Green
46,-0.03585092,0.05875916,0.04771380,0,Green
47,-0.03570356,0.05876506,0.04820207,0,Green
48,-0.03586192,0.05894351,0.04864196,0,Green
49,-0.03344172,0.05862718,0.05942139,0,Green
50,-0.03385250,0.05888910,0.05953781,0,Green
51,-0.03356034,0.05870940,0.05990245,0,Green
52,-0.03333189,0.05857092,0.06032641,0,Green
53,-0.03397111,0.05897126,0.06001668,0,Green
54,-0.03322425,0.05850984,0.06081186,0,Green
55,-0.03374266,0.05883272,0.06044063,0,Green
56,-0.03363502,0.05877155,0.06092609,0,Green
57,-0.03322425,0.05850821,0.06153456,0,Green
58,-0.03354936,0.05870936,0.06185967,0,Green
59,-0.03280689,0.05822998,0.06265485,0,Green
60,-0.03289915,0.05829670,0.06200684,0,Green
61,-0.03316934,0.05846232,0.06239564,0,Green
62,-0.03336484,0.05858002,0.06284156,0,Green
63,-0.03359109,0.05872924,0.06235830,0,Green
64,-0.03329674,0.05851529,0.06333361,0,Green
65,-0.03280689,0.05821449,0.06315568,0,Green
66,-0.03280688,0.05819356,0.06365652,0,Green
67,-0.03280689,0.05817263,0.06415735,0,Green
68,-0.03305731,0.05831304,0.06456812,0,Green
69,-0.03317373,0.05841356,0.06391572,0,Green
70,-0.03246812,0.05793979,0.06444357,0,Green
71,-0.03280688,0.05812741,0.06496132,0,Green
72,-0.03286839,0.05813038,0.06545777,0,Green
73,-0.03236103,0.05777346,0.06585104,0,Green
74,-0.03268886,0.05796352,0.06617887,0,Green
75,-0.03236103,0.05780926,0.06535055,0,Green
76,-0.03203757,0.05753923,0.06621383,0,Green
77,-0.03192830,0.05737595,0.06714487,0,Green
78,-0.03225831,0.05755593,0.06747488,0,Green
79,-0.03268012,0.05782582,0.06750766,0,Green
80,-0.03231951,0.05764571,0.06698532,0,Green
81,-0.03268231,0.05790401,0.06675803,0,Green
82,-0.03192938,0.05731606,0.06776523,0,Green
83,-0.03230358,0.05753211,0.06801688,0,Green
84,-0.03160636,0.05701255,0.06854948,0,Green
85,-0.03194032,0.05718248,0.06888346,0,Green
86,-0.03235068,0.05745748,0.06880051,0,Green
87,-0.03199707,0.05728459,0.06839451,0,Green
88,-0.03149828,0.05684204,0.06934299,0,Green
89,-0.03176744,0.05696162,0.06974782,0,Green
90,-0.03202785,0.05717514,0.06937581,0,Green
91,-0.03106507,0.05623963,0.07146569,0,Green
92,-0.03117442,0.05645845,0.07052904,0,Green
93,-0.03122912,0.05641354,0.07102578,0,Green
94,-0.03147202,0.05669756,0.07020517,0,Green
95,-0.03148734,0.05650935,0.07144374,0,Green
96,-0.03156831,0.05667078,0.07075225,0,Green
97,-0.03192722,0.05693399,0.07052271,0,Green
98,-0.03074326,0.05576425,0.07286608,0,Green
99,-0.03084981,0.05592169,0.07240291,0,Green
100,-0.03106508,0.05613741,0.07200498,0,Green
101,-0.03161072,0.05649189,0.07192840,0,Green
102,-0.03108251,0.05592140,0.07319877,0,Green
103,-0.03119192,0.05607805,0.07273266,0,Green
104,-0.03143482,0.05630053,0.07235627,0,Green
105,-0.03108032,0.05581237,0.07368894,0,Green
106,-0.03063453,0.05535167,0.07448392,0,Green
107,-0.03097375,0.05549468,0.07482316,0,Green
108,-0.03063453,0.05545925,0.07399466,0,Green
109,-0.03102377,0.05563243,0.07434258,0,Green
110,-0.03031077,0.05508886,0.07476184,0,Green
111,-0.03020290,0.05477447,0.07577886,0,Green
112,-0.03054605,0.05490589,0.07612201,0,Green
113,-0.03059600,0.05505563,0.07564639,0,Green
114,-0.03060034,0.05517928,0.07515991,0,Green
115,-0.03020395,0.05463519,0.07636850,0,Green
116,-0.03058109,0.05480187,0.07665191,0,Green
117,-0.02987931,0.05422043,0.07718184,0,Green
118,-0.03022462,0.05433926,0.07752715,0,Green
119,-0.03027458,0.05450037,0.07705587,0,Green
120,-0.02977231,0.05403242,0.07764816,0,Green
121,-0.02977231,0.05390483,0.07813212,0,Green
122,-0.03016907,0.05418103,0.07799915,0,Green
123,-0.02977072,0.05371151,0.07879981,0,Green
124,-0.03011820,0.05381750,0.07914729,0,Green
125,-0.03016816,0.05398989,0.07867819,0,Green
126,-0.02934074,0.05308066,0.08009639,0,Green
127,-0.02944761,0.05344123,0.07907039,0,Green
128,-0.02944761,0.05330172,0.07955278,0,Green
129,-0.02973573,0.05335552,0.07995877,0,Green
130,-0.02986888,0.05356657,0.07950258,0,Green
131,-0.02968820,0.05317386,0.08044385,0,Green
132,-0.02935375,0.05290073,0.08069655,0,Green
133,-0.02935375,0.05275076,0.08117457,0,Green
134,-0.02935375,0.05260079,0.08165260,0,Green
135,-0.02973355,0.05302632,0.08099777,0,Green
136,-0.02960566,0.05260028,0.08208787,0,Green
137,-0.02935375,0.05234146,0.08243403,0,Green
138,-0.02869218,0.05178877,0.08290095,0,Green
139,-0.02904139,0.05187960,0.08325016,0,Green
140,-0.02909345,0.05206656,0.08278817,0,Green
141,-0.02890908,0.05211300,0.08232398,0,Green
142,-0.02847852,0.05114547,0.08441386,0,Green
143,-0.02882817,0.05122285,0.08476350,0,Green
144,-0.02847851,0.05131515,0.08394257,0,Green
145,-0.02888247,0.05141940,0.08430526,0,Green
146,-0.02888246,0.05158908,0.08383399,0,Green
147,-0.02930813,0.05185062,0.08379489,0,Green
148,-0.02847847,0.05094708,0.08499222,0,Green
149,-0.02886700,0.05106600,0.08528471,0,Green
150,-0.02815492,0.05046126,0.08581682,0,Green
151,-0.02850675,0.05052544,0.08616865,0,Green
152,-0.02856321,0.05073142,0.08571257,0,Green
153,-0.02804681,0.05023490,0.08627693,0,Green
154,-0.02804681,0.05006327,0.08674899,0,Green
155,-0.02845332,0.05032972,0.08662661,0,Green
156,-0.02761408,0.04907130,0.08873346,0,Green
157,-0.02761415,0.04925030,0.08826658,0,Green
158,-0.02772336,0.04961606,0.08746367,0,Green
159,-0.02787416,0.04951619,0.08793137,0,Green
160,-0.02800310,0.04933944,0.08856954,0,Green
161,-0.02816483,0.04978665,0.08762539,0,Green
162,-0.02826318,0.04960551,0.08823297,0,Green
163,-0.02827084,0.05001687,0.08719394,0,Green
164,-0.02869052,0.05027752,0.08711567,0,Green
165,-0.02729013,0.04833346,0.09013171,0,Green
166,-0.02729013,0.04852070,0.08966637,0,Green
167,-0.02739886,0.04875286,0.08923581,0,Green
168,-0.02797075,0.04911107,0.08908577,0,Green
169,-0.02765783,0.04839773,0.09046438,0,Green
170,-0.02767971,0.04860869,0.08996764,0,Green
171,-0.02779132,0.04883960,0.08953436,0,Green
172,-0.02685935,0.04747988,0.09167100,0,Green
173,-0.02685935,0.04729432,0.09213610,0,Green
174,-0.02725424,0.04755832,0.09196936,0,Green
175,-0.02724834,0.04774727,0.09150513,0,Green
176,-0.02718302,0.04791090,0.09103484,0,Green
177,-0.02762283,0.04802126,0.09131789,0,Green
178,-0.02718302,0.04810493,0.09057327,0,Green
179,-0.02780467,0.04827413,0.09092668,0,Green
180,-0.02675083,0.04684442,0.09304553,0,Green
181,-0.02710617,0.04686664,0.09340087,0,Green
182,-0.02675083,0.04704568,0.09258555,0,Green
183,-0.02717593,0.04709420,0.09296050,0,Green
184,-0.02719773,0.04730445,0.09250489,0,Green
185,-0.02675074,0.04660084,0.09363193,0,Green
186,-0.02715493,0.04667537,0.09391749,0,Green
187,-0.02632074,0.04588730,0.09479947,0,Green
188,-0.02632074,0.04568933,0.09525914,0,Green
189,-0.02663746,0.04566661,0.09564625,0,Green
190,-0.02672104,0.04594238,0.09509420,0,Green
191,-0.02642886,0.04612263,0.09437153,0,Green
192,-0.02683048,0.04618080,0.09466621,0,Green
193,-0.02681957,0.04638555,0.09420346,0,Green
194,-0.02610388,0.04532771,0.09585170,0,Green
195,-0.02645794,0.04532259,0.09620576,0,Green
196,-0.02590065,0.04474812,0.09695659,0,Green
197,-0.02599755,0.04509091,0.09628050,0,Green
198,-0.02616932,0.04467854,0.09737281,0,Green
199,-0.02624860,0.04500981,0.09670553,0,Green
200,-0.02651728,0.04494023,0.09712175,0,Green
201,-0.02556498,0.04377497,0.09876592,0,Green
202,-0.02556498,0.04398440,0.09830959,0,Green
203,-0.02567248,0.04422729,0.09788398,0,Green
204,-0.02593813,0.04378557,0.09909937,0,Green
205,-0.02596901,0.04402582,0.09860323,0,Green
206,-0.02607705,0.04426605,0.09817545,0,Green
207,-0.02545692,0.04297895,0.10038440,0,Green
208,-0.02545692,0.04319244,0.09993190,0,Green
209,-0.02588746,0.04320940,0.10027680,0,Green
210,-0.02545692,0.04340593,0.09947940,0,Green
211,-0.02588746,0.04342289,0.09982427,0,Green
212,-0.02513379,0.04272467,0.10067080,0,Green
213,-0.02566129,0.04286200,0.10082590,0,Green
214,-0.02502635,0.04220003,0.10168040,0,Green
215,-0.02538092,0.04216728,0.10203500,0,Green
216,-0.02547341,0.04241129,0.10160550,0,Green
217,-0.02513426,0.04245540,0.10124000,0,Green
218,-0.02574869,0.04267571,0.10128180,0,Green
219,-0.02470228,0.04177516,0.10235050,0,Green
220,-0.02515500,0.04184906,0.10255030,0,Green
221,-0.02470330,0.04142016,0.10308390,0,Green
222,-0.02505611,0.04137428,0.10343670,0,Green
223,-0.02515534,0.04162119,0.10301120,0,Green
224,-0.02459408,0.04118267,0.10351240,0,Green
225,-0.02459408,0.04097056,0.10396570,0,Green
226,-0.02498517,0.04095610,0.10427900,0,Green
227,-0.02429111,0.04066140,0.10439830,0,Green
228,-0.02464437,0.04060225,0.10475150,0,Green
229,-0.02416302,0.03985757,0.10599680,0,Green
230,-0.02416302,0.04007359,0.10554460,0,Green
231,-0.02416302,0.04028961,0.10509250,0,Green
232,-0.02458180,0.04028910,0.10536620,0,Green
233,-0.02458180,0.04007304,0.10581850,0,Green
234,-0.02451454,0.03978642,0.10634830,0,Green
235,-0.02417411,0.03955205,0.10663240,0,Green
236,-0.02417411,0.03933278,0.10708300,0,Green
237,-0.02417411,0.03911352,0.10753360,0,Green
238,-0.06213099,0.05076683,0.10029960,0,Green
239,-0.06213099,0.05045163,0.10068920,0,Green
240,-0.06180800,0.05021474,0.10098970,0,Green
241,-0.06180843,0.04989473,0.10137710,0,Green
242,-0.06148365,0.04963583,0.10170190,0,Green
243,-0.06137679,0.04932517,0.10208110,0,Green
244,-0.06198444,0.04959276,0.10173540,0,Green
245,-0.06187548,0.04928217,0.10211470,0,Green
246,-0.06169947,0.04898577,0.10247930,0,Green
247,-0.06169849,0.04855237,0.10299570,1,SecondColor
248,-0.06119682,0.04856770,0.10299570,1,SecondColor
249,-0.06135150,0.04825880,0.10335740,1,SecondColor
250,-0.06126897,0.04783739,0.10385950,0,Green
251,-0.06177002,0.04782024,0.10385950,0,Green
252,-0.06148400,0.04754077,0.10420190,0,Green
253,-0.06198506,0.04752363,0.10420190,0,Green
254,-0.06172773,0.04724969,0.10453300,0,Green
255,-0.06180678,0.04692513,0.10490740,0,Green
256,-0.06213338,0.04667119,0.10518820,0,Green
257,-0.06213130,0.04634371,0.10556890,0,Green
258,-0.06387859,0.05301830,0.09737713,0,Green
259,-0.06342579,0.05289861,0.09755486,0,Green
260,-0.06321208,0.05262443,0.09791455,0,Green
261,-0.06385730,0.05384200,0.09630974,0,Green
262,-0.06385730,0.05353554,0.09670736,0,Green
263,-0.06353410,0.05327490,0.09706456,0,Green
264,-0.06342380,0.05167278,0.09910369,0,Green
265,-0.06292269,0.05168842,0.09911421,0,Green
266,-0.06263001,0.05144185,0.09943636,0,Green
267,-0.06317535,0.05140704,0.09944689,0,Green
268,-0.06288268,0.05116048,0.09976905,0,Green
269,-0.06245104,0.05101432,0.09997538,0,Green
270,-0.06265738,0.05072154,0.10032490,0,Green
271,-0.06299523,0.05228430,0.09835770,0,Green
272,-0.06371375,0.05263628,0.09786952,0,Green
273,-0.06347707,0.05235311,0.09824146,0,Green
274,-0.06309245,0.05197667,0.09874020,0,Green
275,-0.06357428,0.05204548,0.09862397,0,Green
276,-0.06277648,0.05030527,0.10083020,0,Green
277,-0.06234484,0.05015722,0.10103560,0,Green
278,-0.06245380,0.04984123,0.10141060,0,Green
279,-0.06245372,0.04733223,0.10439980,0,Green
280,-0.06227899,0.04703226,0.10475970,0,Green
281,-0.06277616,0.04666640,0.10515290,0,Green
282,-0.06263886,0.04635718,0.10552110,0,Green
283,-0.06558362,0.05661505,0.09242510,0,Green
284,-0.06536672,0.05635979,0.09279661,0,Green
285,-0.06515197,0.05601704,0.09328838,0,Green
286,-0.06515197,0.05572224,0.09369425,0,Green
287,-0.06560723,0.05587567,0.09344086,0,Green
288,-0.06558147,0.05555296,0.09388753,0,Green
289,-0.06488500,0.05548373,0.09404369,0,Green
290,-0.06515851,0.05522073,0.09437062,0,Green
291,-0.06472046,0.05509512,0.09457790,0,Green
292,-0.06441917,0.05486920,0.09490696,0,Green
293,-0.06439716,0.05456946,0.09530911,0,Green
294,-0.06491578,0.05481052,0.09493990,0,Green
295,-0.06535541,0.05493537,0.09473288,0,Green
296,-0.06489443,0.05451103,0.09534113,0,Green
297,-0.06459638,0.05428313,0.09567181,0,Green
298,-0.06428844,0.05405564,0.09599461,0,Green
299,-0.06471743,0.05388028,0.09618362,0,Green
300,-0.06432242,0.05370956,0.09644058,0,Green
301,-0.06428632,0.05336014,0.09689718,0,Green
302,-0.06417868,0.05275607,0.09768144,0,Green
303,-0.06719783,0.05784399,0.09047092,0,Green
304,-0.06669927,0.05788951,0.09047092,0,Green
305,-0.06692805,0.05761899,0.09082703,0,Green
306,-0.06643598,0.05760189,0.09091551,0,Green
307,-0.06610793,0.05740491,0.09123924,0,Green
308,-0.06615756,0.05711595,0.09164498,0,Green
309,-0.06580146,0.05693666,0.09194713,0,Green
310,-0.06644371,0.05670124,0.09219747,0,Green
311,-0.06607267,0.05652691,0.09248487,0,Green
312,-0.06585818,0.05627419,0.09286022,0,Green
313,-0.06660000,0.05732051,0.09129535,0,Green
