# Extracted surface points
# Object: trace_plane_Stand
# CoordinateSpace: World
# Units: meters
# Count: 4170
# Color 0: Name=Green, RGB=0,255,0, Tolerance=0
# Color 1: Name=SecondColor, RGB=255,0,0, Tolerance=0
index,x,y,z,colorIndex,colorName
0,-0.05565819,0.06787147,0.05076017,0,Green
1,-0.05619539,0.06799876,0.05079067,0,Green
2,-0.05525235,0.06782245,0.05104871,0,Green
3,-0.05651912,0.06812701,0.05114958,0,Green
4,-0.05589043,0.06798912,0.05118712,0,Green
5,-0.05611094,0.06810515,0.05162111,0,Green
6,-0.05659837,0.06821695,0.05163637,0,Green
7,-0.05679569,0.06832721,0.05208270,0,Green
8,-0.05705901,0.06825642,0.05122185,0,Green
9,-0.05738407,0.06837185,0.05158459,0,Green
10,-0.05730162,0.06842853,0.05207453,0,Green
11,-0.05783867,0.06848387,0.05176125,0,Green
12,-0.05775623,0.06853912,0.05225355,0,Green
13,-0.05824617,0.06859817,0.05202978,0,Green
14,-0.05843461,0.06869806,0.05248203,0,Green
15,-0.05860393,0.06878240,0.05294496,0,Green
16,-0.05486918,0.06767637,0.05076016,0,Green
17,-0.05436226,0.06738982,0.04992134,0,Green
18,-0.05400809,0.06735882,0.05027550,0,Green
19,-0.05447177,0.06750468,0.05039667,0,Green
20,-0.05516846,0.06768435,0.05035938,0,Green
21,-0.05403838,0.06722444,0.04949494,0,Green
22,-0.05355374,0.06709349,0.04949494,0,Green
23,-0.05363761,0.06720426,0.04997726,0,Green
24,-0.05307384,0.06694592,0.04948318,0,Green
25,-0.05263815,0.06672917,0.04903357,0,Green
26,-0.05215842,0.06658185,0.04903358,0,Green
27,-0.05242493,0.06674708,0.04948550,0,Green
28,-0.05167932,0.06643056,0.04903356,0,Green
29,-0.05188240,0.06632142,0.04820149,0,Green
30,-0.05220599,0.06649359,0.04854357,0,Green
31,-0.05122596,0.06603110,0.04787792,0,Green
32,-0.05087375,0.06598493,0.04823013,0,Green
33,-0.05132495,0.06616475,0.04834985,0,Green
34,-0.05026343,0.06558648,0.04733919,0,Green
35,-0.05047954,0.06574989,0.04775991,0,Green
36,-0.05007262,0.06566971,0.04804039,0,Green
37,-0.04982530,0.06547311,0.04755200,0,Green
